"seqn","ocd150","ocq180","ocq210","ocd231","ocd241","ocq260","ocq265","ocd270","ocq290g","ocq290q","ocq380","ocd390g","ocd391","ocd392","ocd395","ocq510","ocq520","ocq530","ocq540","ocq550","ocq560","ocq570","ocq580"
49921,1,65,NA,19,15,5,1,12,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,5
49923,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49924,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49925,1,40,NA,8,16,5,1,18,2,NA,NA,1,4,19,180,1,10,1,10,2,NA,1,5
49928,1,40,NA,16,11,3,1,180,1,1,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,1,18
49932,1,40,NA,5,21,1,1,48,2,NA,NA,1,13,7,480,2,NA,2,NA,2,NA,2,NA
49934,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,19,480,NA,NA,NA,NA,NA,NA,NA,NA
49935,1,5,2,8,22,1,4,0,2,NA,NA,2,NA,NA,NA,1,1,2,NA,1,1,2,NA
49936,1,100,NA,8,19,5,1,144,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA
49938,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,6,22,444,NA,NA,NA,NA,NA,NA,NA,NA
49940,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49941,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49943,1,45,NA,8,20,1,1,96,1,8,NA,2,NA,NA,NA,2,NA,2,NA,1,30,1,8
49944,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,21,17,300,2,NA,2,NA,2,NA,2,NA
49945,1,55,NA,8,16,1,1,36,2,NA,NA,2,NA,NA,NA,2,NA,2,NA,1,3,2,NA
49946,1,45,NA,19,20,1,1,84,1,1,NA,2,NA,NA,NA,1,7,2,NA,1,7,1,7
49947,1,10,1,20,15,1,1,24,1,10,NA,1,6,21,360,1,30,1,1,2,NA,2,NA
49948,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,16,11,156,NA,NA,NA,NA,NA,NA,NA,NA
49950,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
